Subcorpus	Filename	Year data collection	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Variety of native language (country)	Father's native language	Mother's native language	Languages spoken at home	Any foreign language?	Foreign language	Proficiency (self-assessment) in foreign language speaking	Proficiency (self-assessment) in foreign language listening	Proficiency (self-assessment) in foreign language reading	Proficiency (self-assessment) in foreign language writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Resources used	Text	Original text
Native	EN_WR_18_13_BB	2017	Female	18	Gettysburg College	Psychology and Music	First	English	American English	English	English	English	Yes	""	""	""	""	""	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	2	""	"One day I decided to get a pet frog. I placed it into a jar in my room so my mother would not find it. One night I was sleeping and the frog climbed out of the jar and escaped! I woke up next morning and began to panic. Where is my frog?? I searched everywhere in the house and then went outside. ""Frodo, where are you?"" I called. He was nowhere to be found. I searched every rock, tree, bush, and  stick. I accidentally disturbed a deer, who angrily pushed me down a hill. I rolled down the hill and landed in the pond. I heard a croak nearby. Turning, I saw Frodo on a rock nearby. Apparently, Frodo had a family and children, so I decided to leave him alone."	
Native	EN_WR_18_3_HW	2017	Female	18	Gettysburg College	Political Science and Economics	Freshman	English	American English	English	English	English	Yes	Spanish	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	""	""	""	""	""	Written	3	3. Film	written_online	2	""	"I watched a film recently for my environmental studies class entitled ""Food Inc."", which is about the industrial farming industry and it's impact on animal well-being. The film is a documentary, and showcases how factory farming for the sake of feeding our human population places a large negative impact on the physical and psychological well-being of the animals. Through this lens, the film tries to convince its audience that this practice is morally wrong and that they should fight for animal rights and only buy from organic farms, if they dont want to go vegan or vegetarian."	
Native	EN_SP_19_14_PG	2018	Male	19	Central College	Biochemistry, Spanish	sophomore	English	American English	Spanish, English	Spanish, English	English	Yes	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	15	""	so first / uh Chaplin was walking and getting ready to smoke / when / he saw a baby in the alleyway / the police officer / uh actually he saw a woman uh walking around with a stroller and / he figured it was hers so he walked up to her and the woman / said it wasn't hers after he put it in the carriage and eventually took it back / then he was walking back to put the baby in the alley where he found it but the police officer came by 'n’ he decided that wasn't a good idea / so he walked away with the baby / and then he saw a man walking around 'n' asked the man to hold the baby while he tied his shoe / and / the man uh took the baby and he pretended to tie his shoe and then ran off / uh that made the man very angry so he went to go look for Chaplin / uh while Chaplin was walking away / uh / hhh he ran into the police officer without the baby / but then just decided to walk away while the police officer had no idea what was going on / the man went to go look for Chaplin and eventually found the carriage that we saw from earlier / and put the baby in there and then walked off / uh Chaplin was then walking and eventually walked past the same carriage again but then / the lady came out and figured that he put the baby back in there / and / so he took the baby back uh the police officer came / and he just walked away with the baby / then the / Chaplin was walking / and walked past a curb / 'n' decided to sit down / and even thought about putting the baby in hhh the sewer / but / found a note inside the baby's blanket that said to take him / take care 'n' love the baby / and hhh he found it very heartwarming and so he walked away 'n' probably did that	
Native	EN_SP_19_14_SC	2018	Female	19	Central College	Pre-Nursing, Psychology, Religion, Spanish	sophomore	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	ok so in the video there is a man at the beginning and he walks around pretty carelessly he is walking through a construction zone / and kinda looks like somebody that just doesn't have a clue / uh so he gets hit / by some like scaffolding or something that falls / uh and then / he decides the solution to that is to smoke a cigarette so he goes for that and then he sees a baby / uh that just left in the street and he picks the baby up / uh has it then kinda decides / oo i don't know if this is a good idea so starts looking around sees a stroller thinks maybe / the mom accidentally somehow drop the baby out the stroller so he puts the baby in the stroller / uh the woman comes out of the store the owner of the stroller / and it's not her baby so she freaks out she makes the man take the baby hhh back he grabs her own baby at first and then / grabs the right one / uh so then he goes back just to put the baby back down on the street and a police officer comes so now he is dodging a mom and a police officer so as he picks the baby up uh then he tricks another guy into holding the baby / uh and runs away / uh thinking that he is rid of the baby / and uh I am pretty sure he encounters the police officer again after that and the guy who he's tricked uh puts the baby back in the same stroller / uh of the same mother from before / uh while she is in a different store / so then the original guy that had the baby is just walking about on the street / and uh the mom comes out thinks he's put / the baby in her stroller once again and she just starts / going to town beating him with this umbrella thing / and then he goes to pick the baby back up again the mom calls the police officer from before over / uh to settle the dispute / and so the guy just realizes that he's stuck with this baby uh so he walks with the baby for a little bit / he sits down on the street and for a split second / he is tempted to put the baby uh in the sewer hhh I don't know I but yeah so he is tempted for that but then he finds a note on the baby that says / uh please love and care for this orphan child and / in that moment everything changes like he sees the baby / in a totally different way has a complete change of heart and decides to keep the baby / and so that is the end	
Native	EN_WR_19_13_AMW	2016	Female	19	Whitman College	Psychology	2	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	There was once a little boy who had a pet frog that he kept in a jar. One night, when the boy went to sleep, his frog climbed out of the jar. When the boy awoke, he was distressed when he noticed the empty jar. Where could his frog have gone? He looked everywhere for his pet frog -- he yelled his name in the forest, looked for him in a tree and on top of a boulder.	
Native	EN_WR_19_13_DL	2016	Female	19	Drexel University	Biomedical Engineering	Junior	English	American English	Hokkien, Mandarin Chinese	Cantonese, Mandarin Chinese	English, Mandarin Chinese	Yes	Mandarin Chinese	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	A1 (lower beginner)	6 / 6	Korean	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	13	13. Frog	written_online	""	""	"One day, Penny's small human (whose mother called him James) found a Mr. Frog in the storm drain across the street, just before dinner, and brought him home in a glass jar. Penny tried to ask for the gentleman frog's given name in her most polite voice, but James reproached Penny for barking and seemed content to spend the evening without even attempting conversation, so Mr. Frog suffered through a most improper silence until James' bedtime.  <br/> It was the middle of the night, and a gentle breeze was wafting through the open window, when Penny heard a soft, reedy voice from the windowsill:  <br/> ""Pardon this unmannerly exit, ma'am,"" whispered Mr. Frog, ""but I really must be getting home to my family."" <br/> Penny nodded briefly, not wanting to wake James, and the gentleman frog disappeared into the night.  <br/> The next morning, James was distraught to find Mr. Frog missing from his glass jar, despite Penny's reassurances that their guest was really all right.  <br/> ""Where did he go?"" cried James. ""What if he is lost in the forest?"" <br/> ""Mr. Frog went home to his family,"" said Penny. <br/> ""Oh, don't bark, Penny,"" said James. ""I know you must be worried, but we'll find him and bring him home."" <br/> ""He's already home,"" said Penny.  <br/> ""Shh, Penny,"" said James.  <br/> Since James could not be convinced of Mr. Frog's safety, Penny's only choice was to accompany her human into the forest in pursuit of their recent guest. Like most humans, James went about making an unbelievable amount of noise, calling for ""Froggy!"" incessantly and stepping on every loud twig that could possibly lie in his path. <br/> ""I rather think 'Froggy' is a disrespectful moniker,"" said Penny. ""Also, oughtn't we check the pond first?"" <br/> ""That's right, girl,"" said James. ""You call for Froggy too! Keep barking!"" <br/> ""What izz your human doing, what izz he looking for?"" asked several bees from a nearby hive. <br/> ""We had a run-in with a gentleman frog last night; I didn't catch his name,"" Penny explained. ""My human seems intent on finding him again, though I'm not sure he knows where to look."" <br/> The commotion brought Tom Weasel wiggling out of his house to laugh uproariously at the sight of James calling into the hollows of Owl Tree. <br/> ""Does your human know ANYTHING about animals?"" said Tom, wheezing with laughter. ""All he's going to get out of that is a very angry Mrs. Owl - she's just gone down for a nap, just watch - "" <br/> Sure enough, Virginia Owl soon appeared in her tree's branches, although James had since moved on to the large rock at the front door of another house. One of Virginia's eyes was still closed, and her beak was downturned in a fantastically sleepy scowl. She took a deep breath.  <br/> ""WHO,"" bellowed Virginia. She paused to yawn. ""WHO dares -"" <br/> ""FROGGY WHERE ARE YOU?"" yelled James.  <br/> Tom snickered so loudly that Penny took it upon herself to forcefully remind him of his manners, and as such, almost missed the sudden hush that swept through the whole clearing. Even James fell silent, which was sufficiently strange for Penny to go immediately running to her human's side, but she found him sprawled helplessly over Sir Roland Buck's wide face and rising steadily as the buck stood up.  <br/> ""Oh, for the love of all good creatures in this forest,"" said Sir Roland in his slow, rumbling way.  <br/> ""Sir, I apologize,"" yelped Penny. ""My human - "" <br/> ""Yes, yes,"" said Sir Roland, while James clung to his antlers, terrified. ""Come along.""  <br/> It turned out that the pond was much closer than Penny remembered from her last trip to the forest, which was comforting. She did think that Sir Roland could have dropped her and James off in a less literal fashion, though."	
Native	EN_WR_19_13_EC	2017	Female	19	Gettysburg College	Biology	2	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	3	""	"One day, a boy and his dog lost their pet frog. The boy and the dog went looking for the frog, starting in the back yard. They shouted and howled, ""Frog? Where are you?"", but the frog did not respond. Then, the boy climbed up a tall rock and mistook a deer's antler for tree branches. The deer angrily stood up and bucked the boy off a cliff. He fell a few feet and landed in a stream. After a few seconds, the boy got his bearings and grasped onto a nearby log to pull himself to shore. Upon reaching the shore, he made eye contact with his pet frog- he found it!"	
Native	EN_WR_19_13_HMO	2017	Female	19	Gettysburg College	Mathematical Economics	Freshman	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day Joey was sitting in his room with his new pet frog, Jerry, and his pet dog, Spots. Joey was very intrigued by the new frog and enjoyed watching it swim around inside its bowl. Even Spots was paying attention to the mysterious creature in the bowl. Eventually, Joey went to bed. That night, however, Jerry wanted to go see his family back in the pond. So while Joey slept soundly in his bed, Jerry climbed out of the bowl and quietly hopped back to the pond. However, Jerry did not realize that his exit from the bowl made a splashing sound which woke Joey up. Spots had also heard something akin to steps outside his crate downstairs. Spots ran upstairs to check on Joey and the two were perplexed when they looked at the now empty bowl. The next day, they went outside in search of Jerry. Looking through the nearby park and at the edge of the woods, Joey and Spots called out for Jerry but to no avail. Eventually, Joey crawled over a deer with Spots following close behind him. They were both tossed off the deer's head into a pond. As Joey and  Spots emerged from the water, they climbed over a nearby tree trunk. Joey was sad he could not find his new pet. Once they had dried off, though, Joey looked to the side and saw Jerry with his family. Joey realized that Jerry was better off in the wild living with his family.	
Native	EN_WR_19_13_MK	2016	Female	19	Pitzer College	Psychology	Second	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	""	""	One day a little boy and his dog brought home a frog in a jar. That night, they went to sleep but the frog jumped out and escaped. The little boy woke up to see the jar was empty. He and his dog went searching for the frog. They searched high and low, and while they were searching they came across a deer. The dear lifted the two up and threw they over the edge of the cliff into a pond. They crawled onto a log near the water and right on the other side of that log they found a family of frogs! They had found their missing frog! They took him back home and waved goodbye to the rest of the frog family.	
Native	EN_WR_19_13_SCJ	2016	Female	19	University of Iowa	International Relations	Junior	English	American English	English	English	English	Yes	Spanish	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	Arabic	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	A2 (upper beginner)	Written	13	13. Frog	written_online	""	""	"One day a little boy found a frog in the park. He decided to take it home and call him Fred. While the little boy was sleeping, Fred jumped from the jar and hopped away. The little boy woke up the next morning and could not find Fred. He looked everywhere. The little boy yelled, ""Fred! Where are you? I want you to come home now.""  <br/> The little boy was walking through the forest when all of the sudden a deer attacked him. The little boy flew through the air and landed in the river. His dog saved him and the little boy was thanking his dog when he saw something move in the water. There were tons of little frogs swimming and then he looked up and saw Fred sitting with his wife and eight kids. The little boy was happy Fred found his family again."	
